iter	Passed	Remaining
753	2934	957
754	2935	952
755	2936	947
756	2937	942
757	2938	937
758	2938	933
759	2939	928
760	2940	923
761	2941	918
762	2942	913
763	2943	909
764	2944	904
765	2945	899
766	2945	894
767	2946	890
768	2947	885
769	2957	883
770	2959	878
771	2960	874
772	2962	870
773	2965	865
774	2967	861
775	2968	856
776	2970	852
777	2972	848
778	2975	844
779	2977	839
780	2978	835
781	2979	830
782	2983	826
783	2986	822
784	2989	818
785	2992	814
786	2996	811
787	2998	806
788	3000	802
789	3002	798
790	3004	793
791	3012	791
792	3013	786
793	3014	782
794	3016	777
795	3020	774
796	3021	769
797	3022	765
798	3030	762
799	3032	758
800	3035	754
801	3036	749
802	3037	745
803	3037	740
804	3038	736
805	3039	731
806	3040	727
807	3041	722
808	3043	718
809	3044	714
810	3045	709
811	3046	705
812	3047	700
813	3048	696
814	3049	692
815	3050	687
816	3051	683
817	3052	679
818	3052	674
819	3053	670
820	3054	665
821	3055	661
822	3056	657
823	3057	653
824	3059	648
825	3059	644
826	3060	640
827	3061	636
828	3063	631
829	3064	627
830	3065	623
831	3066	619
832	3067	614
833	3068	610
834	3069	606
835	3070	602
836	3071	598
837	3074	594
838	3075	590
839	3078	586
840	3080	582
841	3081	578
842	3082	574
843	3083	570
844	3085	565
845	3086	561
846	3087	557
847	3088	553
848	3090	549
849	3091	545
850	3093	541
851	3096	537
852	3097	533
853	3098	529
854	3099	525
855	3102	521
856	3104	517
857	3105	514
858	3106	509
859	3107	505
860	3108	501
861	3109	497
862	3110	493
863	3111	489
864	3112	485
865	3113	481
866	3113	477
867	3114	473
868	3115	469
869	3116	465
870	3117	461
871	3119	457
872	3120	453
873	3121	450
874	3122	446
875	3123	442
876	3130	439
877	3131	435
878	3132	431
879	3133	427
880	3135	423
881	3139	419
882	3140	416
883	3141	412
884	3142	408
885	3143	404
886	3144	400
887	3145	396
888	3146	392
889	3147	389
890	3150	385
891	3151	381
892	3152	377
893	3153	373
894	3155	370
895	3157	366
896	3158	362
897	3159	358
898	3160	355
899	3161	351
900	3162	347
901	3164	343
902	3165	339
903	3165	336
904	3166	332
905	3167	328
906	3168	324
907	3169	321
908	3170	317
909	3171	313
910	3172	309
911	3173	306
912	3174	302
913	3175	298
914	3175	295
915	3176	291
916	3177	287
917	3179	283
918	3180	280
919	3180	276
920	3181	272
921	3182	269
922	3183	265
923	3184	261
924	3185	258
925	3186	254
926	3187	250
927	3188	247
928	3188	243
929	3189	240
930	3190	236
931	3191	232
932	3192	229
933	3193	225
934	3194	222
935	3195	218
936	3196	214
937	3197	211
938	3197	207
939	3198	204
940	3199	200
941	3200	197
942	3201	193
943	3202	189
944	3203	186
945	3204	182
946	3205	179
947	3206	175
948	3207	172
949	3208	168
950	3209	165
951	3210	161
952	3211	158
953	3212	154
954	3213	151
955	3216	148
956	3217	144
957	3218	141
958	3219	137
959	3220	134
960	3221	130
961	3221	127
962	3222	123
963	3223	120
964	3224	116
965	3225	113
966	3226	110
967	3227	106
968	3229	103
969	3230	99
970	3231	96
971	3232	93
972	3233	89
973	3234	86
974	3235	82
975	3236	79
976	3238	76
977	3239	72
978	3240	69
979	3241	66
980	3242	62
981	3243	59
982	3244	56
983	3245	52
984	3245	49
985	3246	46
986	3247	42
987	3249	39
988	3250	36
989	3251	32
990	3252	29
991	3253	26
992	3254	22
993	3255	19
994	3256	16
995	3257	13
996	3258	9
997	3259	6
998	3260	3
999	3261	0
2386	679
948	12389	665
949	12391	652
950	12392	638
951	12394	624
952	12396	611
953	12403	598
954	12404	584
955	12405	570
956	12406	557
957	12407	543
958	12408	530
959	12409	517
960	12410	503
961	12411	490
962	12412	476
963	12413	463
964	12427	450
965	12428	437
966	12429	424
967	12430	410
968	12434	397
969	12437	384
970	12438	371
971	12488	359
972	12490	346
973	12491	333
974	12492	320
975	12518	307
976	12519	294
977	12520	281
978	12544	269
979	12545	256
980	12548	243
981	12563	230
982	12572	217
983	12574	204
984	12575	191
985	12576	178
986	12627	166
987	12630	153
988	12631	140
989	12632	127
990	12633	114
991	12634	101
992	12636	89
993	12637	76
994	12654	63
995	12671	50
996	12672	38
997	12673	25
998	12674	12
999	12675	0
